strongest_skill,weakest_skill,second_weakest_skill,strength_weakness_gap,learning_profile,speaking_minus_avg,reading_minus_avg,listening_minus_avg,writing_minus_avg,productive_dominant,speaking_level,reading_level,listening_level,writing_level
reading,speaking,listening,1.427689663159081,Uneven Development,-2.069500185644842,1.751171186038203,-0.4218477270735403,0.720782018260329,-0.8958311587520402,Beginner,Intermediate,Beginner,Intermediate
speaking,writing,listening,-1.2252816894445042,Balanced,0.6098196552859022,0.058794905060269256,-0.22143678796541674,-0.4385006322925635,1.1162817794740187,Advanced,Advanced,Advanced,Advanced
reading,writing,speaking,0.10120398685728836,Balanced,0.1976166028350186,0.7357454174514427,0.7138142612058265,-1.6659763799368026,-0.8958311587520402,Intermediate,Intermediate,Intermediate,Intermediate
speaking,listening,listening,0.10120398685728836,Balanced,1.5029262689294836,0.397270161255856,-0.9562768980285364,-0.9158523119319898,1.1162817794740187,Intermediate,Intermediate,Intermediate,Intermediate
listening,reading,speaking,0.6317982573780053,Balanced,-0.07718543213223718,-1.4304962222003124,1.5154580176383208,-0.0293420497444838,-0.8958311587520402,Advanced,Advanced,Advanced,Advanced
reading,speaking,writing,-0.42939028366342863,Balanced,-0.6267895020667488,1.2773058273643816,-0.08782949522666769,-0.5748868264752567,-0.8958311587520402,Intermediate,Intermediate,Intermediate,Intermediate
listening,reading,speaking,0.10120398685728836,Balanced,-0.07718543213223718,-1.4304962222003124,0.9810288466833246,0.5162027269862891,1.1162817794740187,Intermediate,Intermediate,Intermediate,Intermediate
listening,reading,speaking,0.36650112211764685,Balanced,0.2663171115768326,-1.6335813759176645,1.047832493052699,0.3116234357122493,1.1162817794740187,Advanced,Advanced,Advanced,Advanced
reading,listening,speaking,0.10120398685728836,Balanced,-0.4206879758413069,1.2096107761252644,-1.2234914835060344,0.44800962989494253,-0.8958311587520402,Intermediate,Intermediate,Intermediate,Intermediate
listening,writing,speaking,0.8970953926383639,Uneven Development,0.2663171115768326,0.2618800587776213,1.315047078530197,-1.8705556712108424,-0.8958311587520402,Intermediate,Intermediate,Advanced,Intermediate
speaking,listening,reading,1.958283933679798,Uneven Development,2.1212308476058093,-0.8889358122873737,-2.225546179046652,1.061747503717062,1.1162817794740187,Intermediate,Intermediate,Intermediate,Intermediate
reading,listening,speaking,-1.4905788247048626,Balanced,-0.14588594087405113,0.397270161255856,-0.4218477270735403,0.17523724152955605,-0.8958311587520402,Intermediate,Intermediate,Intermediate,Intermediate
writing,speaking,reading,-1.2252816894445042,Balanced,-0.4206879758413069,-0.4150704536135522,0.11258144388145587,0.720782018260329,1.1162817794740187,Intermediate,Intermediate,Intermediate,Intermediate
listening,reading,writing,0.36650112211764685,Balanced,0.7472206727695301,-1.701276427156782,0.9810288466833246,-0.0293420497444838,1.1162817794740187,Intermediate,Intermediate,Intermediate,Intermediate
writing,speaking,reading,-0.6946874189237872,Balanced,-0.7641905195503768,-0.21198529989620016,0.045777797512081345,0.9253613095343689,1.1162817794740187,Intermediate,Advanced,Advanced,Advanced
speaking,reading,listening,0.36650112211764685,Balanced,1.4342257601876696,-1.2951061197220777,-0.48865137344291476,0.3798165328035959,1.1162817794740187,Intermediate,Beginner,Beginner,Beginner
reading,writing,listening,-0.16409314840307015,Balanced,0.8159211815113441,1.0742206736470294,-0.8226696052897874,-1.052238506114683,-0.8958311587520402,Advanced,Advanced,Intermediate,Intermediate
speaking,reading,listening,0.6317982573780053,Balanced,2.052530338863995,-0.9566308635264911,-0.6890623125510384,-0.37030753520121684,1.1162817794740187,Advanced,Advanced,Advanced,Advanced
reading,writing,listening,0.10120398685728836,Balanced,0.3350176203186465,1.4126959298426165,-0.7558659589204129,-0.9840454090233364,-0.8958311587520402,Intermediate,Advanced,Intermediate,Intermediate
reading,speaking,listening,-1.2252816894445042,Balanced,-0.48938848458312084,0.600355314973208,-0.48865137344291476,0.3798165328035959,-0.8958311587520402,Advanced,Advanced,Advanced,Advanced
writing,speaking,reading,0.36650112211764685,Balanced,-1.657297133193958,0.2618800587776213,0.24618873662020488,1.1299406008084087,-0.8958311587520402,Advanced,Advanced,Advanced,Advanced
reading,writing,speaking,-1.4905788247048626,Balanced,-0.21458644961586507,0.32957511001673867,0.31299238298957943,-0.4385006322925635,-0.8958311587520402,Advanced,Advanced,Advanced,Advanced
writing,speaking,reading,-0.9599845541841456,Balanced,-0.9015915370340046,0.19418500753850398,0.17938509025083038,0.5162027269862891,-0.8958311587520402,Advanced,Advanced,Advanced,Advanced
listening,writing,reading,-0.16409314840307015,Balanced,0.5411191465440883,-0.008900146178848097,0.780617907575201,-1.3250108944800696,-0.8958311587520402,Intermediate,Intermediate,Advanced,Intermediate
listening,speaking,reading,1.6929867984194393,Uneven Development,-1.7259976419357719,-0.6181556073309044,2.317101774070815,-0.0293420497444838,-0.8958311587520402,Intermediate,Intermediate,Intermediate,Intermediate
writing,speaking,listening,0.6317982573780053,Balanced,-1.3824950982267024,1.0742206736470294,-1.3570987762447835,1.6754853775391816,1.1162817794740187,Intermediate,Intermediate,Intermediate,Advanced
